Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng
Orange,GLN0124,TQ3328081170,33,GSM,1800,30.2,32,,51.513231,-0.07907
Orange,GLN0124,TQ3328081170,33,UMTS,2100,29.9,,65,51.513231,-0.07907
Orange,GLN0126,TQ2902082740,34.5,GSM,1800,30.2,32,,51.528331,-0.139858
Orange,GLN0128,TQ0576084100,25.5,GSM,1800,30.3,32,,51.545393,-0.474658
Orange,GLN0128,TQ0576084100,25.5,UMTS,2100,29.9,,65,51.545393,-0.474658
Orange,GLN0129,TQ3050080830,29,GSM,1800,30.4,32,,51.510825,-0.11924
Orange,GLN0133,TQ3104077940,45,GSM,1800,26.8,32,,51.484725,-0.112535
Orange,GLN0135,TQ2665078120,40,GSM,1800,29.9,32,,51.487344,-0.175668
Orange,GLN0140,TQ2564081760,60.9,GSM,1800,32,32,,51.520285,-0.188912
Orange,GLN0140,TQ2564081760,60.9,UMTS,2100,30.4,,65,51.520285,-0.188912
Orange,GLN0141,TQ2685082100,45,GSM,1800,31.6,32,,51.523071,-0.171357
Orange,GLN0141,TQ2685082100,45,UMTS,2100,30,,65,51.523071,-0.171357
Orange,GLN0142,TQ2590082950,63.5,GSM,1800,30.5,32,,51.530923,-0.184741
Orange,GLN0142,TQ2590082950,63.5,UMTS,2100,30.2,,65,51.530923,-0.184741
Orange,GLN0144,TQ2479085100,35.5,GSM,1800,29.5,32,,51.550494,-0.199974
Orange,GLN0144,TQ2479085100,35.5,UMTS,2100,29.5,,65,51.550494,-0.199974
Orange,GLN0147,TQ2925084470,22.3,GSM,1800,29.1,32,,51.543827,-0.135909
Orange,GLN0147,TQ2925084470,22.3,UMTS,2100,25.6,,65,51.543827,-0.135909
Orange,GLN0157,TQ3150079990,37,GSM,1800,29.3,32,,51.503043,-0.10515
Orange,GLN0157,TQ3150079990,37,UMTS,2100,27.2,,65,51.503043,-0.10515
Orange,GLN0158,TQ3195079400,22.7,GSM,1800,31.7,32,,51.497635,-0.09889
Orange,GLN0158,TQ3195079400,22.7,UMTS,2100,29.5,,65,51.497635,-0.09889
Orange,GLN0162,TQ3074076600,28.5,GSM,1800,29.6,32,,51.472751,-0.11735
Orange,GLN0164,TQ2900076740,28,GSM,1800,31.7,32,,51.474409,-0.142341
Orange,GLN0164,TQ2900076740,28,UMTS,2100,30.2,,65,51.474409,-0.142341
Orange,GLN0167,TQ3288096420,21.9,GSM,1800,26.2,32,,51.650382,-0.079059
Orange,GLN0167,TQ3288096420,21.9,UMTS,2100,26,,65,51.650382,-0.079059
Orange,GLN0169,TQ2492077070,28,GSM,1800,28.9,32,,51.478291,-0.200946
Orange,GLN0170,TQ2055075400,20.9,GSM,1800,30.5,32,,51.464229,-0.26442
Orange,GLN0170,TQ2055075400,20.9,UMTS,2100,30.3,,65,51.464229,-0.26442
Orange,GLN0172,TQ4217085520,12,GSM,1800,29.8,32,,51.550156,0.05073
Orange,GLN0172,TQ4217085520,12,UMTS,2100,28,,65,51.550156,0.05073
Orange,GLN0173,TQ2572078370,35.3,GSM,1800,31.7,32,,51.489798,-0.188968
Orange,GLN0173,TQ2572078370,35.3,UMTS,2100,30,,65,51.489798,-0.188968
Orange,GLN0176,TQ2348079680,34.5,GSM,1800,28.6,32,,51.502066,-0.220761
